siteID_INT,siteID,RES_depNO2
184,TA19,3.569746635484762
185,TA20,8.529102619413234
186,TA21,21.476257690526776
187,TA22,-7.320383182309584
188,TA23,-6.1328705946300985
189,TA24,-2.8637944774675645
190,TA25,-3.733002141786379
191,TA26,-7.357325134879183
192,TA27,-4.240076863536448
193,TA28,5.514186262462072
194,TA29,-2.412216936612083
195,TA30,2.5493552656224203
196,TA31,-6.519292294447606
197,TA32,-6.974635402111559
198,TA33,-5.418060326894899
199,TA34,-4.784249000789423
200,TA35,4.140854601593606
201,TA36,-4.76492365968009
202,TA37,6.8273336333931915
203,TA38,1.0359152728949326
204,TA39,4.953515899674265
205,TA40,1.260196028375951
206,TA41,4.005979497705024
207,TA42,-0.0926719925319297
208,TA43,3.2367800619969316
209,TA44,-14.123740574142792
210,TA45,27.37744134116098
